id,provincia,nombre,lat,lon
18028030,Corrientes,Tabay,-28.3081359127144,-58.2868656335838
18007010,Corrientes,Bella Vista,-28.5076832122621,-59.0452172890593
18014010,Corrientes,Berón de Astrada,-27.5502192063956,-57.5284147514388
18014020,Corrientes,Yahapé,-27.371446097571,-57.6550373547485
18021020,Corrientes,Corrientes,-27.4633450136008,-58.8394728460849
18021040,Corrientes,Riachuelo,-27.5804349376368,-58.7431168330177
18021050,Corrientes,San Cayetano,-27.5712085908961,-58.695878654331
18028010,Corrientes,Concepción,-28.3932008623293,-57.8869168616331
18028020,Corrientes,Santa Rosa,-28.2672789123962,-58.122724375144
18028040,Corrientes,Tatacua,-28.3759194197758,-58.3211361606206
18035010,Corrientes,Cazadores Correntinos,-29.9823804820362,-58.30424028359
18035020,Corrientes,Curuzú Cuatiá,-29.7914512117216,-58.0498588056217
18035030,Corrientes,Perugorría,-29.3408478764481,-58.6082036530838
18042010,Corrientes,El Sombrero,-27.7035428215827,-58.7686059898584
18042020,Corrientes,Empedrado,-27.9507030287188,-58.8030952116087
18049010,Corrientes,Esquina,-30.0146070645803,-59.5295187353223
18049020,Corrientes,Pueblo Libertador,-30.2201057337039,-59.3897582084609
18056010,Corrientes,Alvear,-29.09883935098,-56.5534358403365
18056020,Corrientes,Estación Torrent,-28.8243613260553,-56.469217050869
18063010,Corrientes,Itá Ibaté,-27.4258760157694,-57.3381268072242
18063020,Corrientes,Lomas de Vallejos,-27.7378846270323,-57.9198968960182
18063030,Corrientes,Nuestra Señora del Rosario de Caá Catí,-27.7521508451429,-57.6219981561066
18063040,Corrientes,Palmar Grande,-27.9412672870758,-57.9009582059555
18070010,Corrientes,Carolina,-29.1502771335216,-59.1817933807415
18070020,Corrientes,Goya,-29.1400763814368,-59.2598912571001
18077010,Corrientes,Itatí,-27.2692166599188,-58.2424212691191
18077020,Corrientes,Ramada Paso,-27.3661839328388,-58.2996240364452
18084010,Corrientes,Colonia Liebig's,-27.9133581893577,-55.8242391819435
18084020,Corrientes,Ituzaingó,-27.5851000792357,-56.68704523972
18084030,Corrientes,San Antonio,-27.5082288352068,-56.7452355069039
18084040,Corrientes,San Carlos,-27.7436223924694,-55.8984316807213
18084050,Corrientes,Villa Olivari,-27.6331004316817,-56.9063054446071
18091010,Corrientes,Cruz de los Milagros,-28.8361238233681,-59.0060051399177
18091020,Corrientes,Gobernador Juan E. Martínez,-28.912338712049,-58.9361031061952
18091030,Corrientes,Lavalle,-29.0233312186356,-59.1791542656857
18091040,Corrientes,Santa Lucía,-28.9898522481525,-59.1007625543369
18091050,Corrientes,Villa Córdoba,-28.9916565448754,-59.0751889970417
18091060,Corrientes,Yatayti Calle,-29.0283125663823,-58.912232686265
18098010,Corrientes,Mburucuyá,-28.0468575823017,-58.2303056698416
18105010,Corrientes,Felipe Yofré,-29.1068306261889,-58.339630558229
18105020,Corrientes,Mariano I. Loza,-29.3768720997383,-58.1922345557106
18105030,Corrientes,Mercedes,-29.184692808419,-58.0735317667774
18112010,Corrientes,Colonia Libertad,-30.0433033963297,-57.8217083171902
18112020,Corrientes,Estación Libertad,-30.0132954607257,-57.859334503744
18112030,Corrientes,Juan Pujol,-30.4193217435637,-57.8558925692433
18112040,Corrientes,Mocoretá,-30.6166771623996,-57.9753625741667
18112050,Corrientes,Monte Caseros,-30.2494229600191,-57.6294817667543
18112060,Corrientes,Parada Acuña,-29.9088415707249,-57.9588655544584
18112070,Corrientes,Parada Labougle,-30.3190129970515,-57.7296875439557
18119010,Corrientes,Bonpland,-29.8174715349719,-57.4278325390256
18119020,Corrientes,Parada Pucheta,-29.9060392794892,-57.5741688351701
18119030,Corrientes,Paso de los Libres,-29.7137148107283,-57.085405398509
18119040,Corrientes,Tapebicuá,-29.5068220837034,-56.9748504032869
18126010,Corrientes,Saladas,-28.2550670289585,-58.6237267469976
18126020,Corrientes,San Lorenzo,-28.1380987971767,-58.7681324143266
18133010,Corrientes,Ingenio Primer Correntino,-27.4336449302222,-58.624308399711
18133020,Corrientes,Paso de la Patria,-27.3173742609378,-58.5725641481134
18133030,Corrientes,San Cosme,-27.3703733639743,-58.5125134414712
18133040,Corrientes,Santa Ana,-27.4553549984351,-58.6547603461789
18140010,Corrientes,San Luis del Palmar,-27.5076986550343,-58.5561477152531
18147010,Corrientes,Colonia Carlos Pellegrini,-28.5372356876725,-57.1713500894698
18147020,Corrientes,Guaviraví,-29.367257277234,-56.829729487149
18147030,Corrientes,La Cruz,-29.1786291267576,-56.6382949898464
18147040,Corrientes,Yapeyú,-29.4708978724135,-56.8150660492958
18154010,Corrientes,Loreto,-27.7684268022989,-57.2752518110706
18154020,Corrientes,San Miguel,-27.998325926444,-57.5873113031892
18161010,Corrientes,Chavarría,-28.9552557117496,-58.5717674623871
18161020,Corrientes,Colonia Pando,-28.5237974395846,-58.4875853173806
18161030,Corrientes,9 de Julio,-28.8407771600765,-58.8300857171651
18161040,Corrientes,Pedro R. Fernández,-28.7463402488208,-58.6541382203541
18161050,Corrientes,San Roque,-28.5693032326122,-58.7051349847879
18168010,Corrientes,José Rafael Gómez,-28.2303186276078,-55.7844099938525
18168020,Corrientes,Garruchos,-28.1737410217252,-55.6506443276322
18168030,Corrientes,Gobernador Igr. Valentín Virasoro,-28.0468079831449,-56.0096324855253
18168040,Corrientes,Santo Tomé,-28.5498158069218,-56.0348110765932
18175010,Corrientes,Sauce,-30.0855347172816,-58.7872807765516
5401403001,Misiones,Dos de Mayo Núcleo I,-27.0221009167187,-54.6856072222935
